X,Y,Z,Radii
-1.815983,-4.582854,6.344499,0.73
-10.35396,8.888304,8.816809,0.77
-9.105651,8.753892,8.071827,0.77
-11.186166,8.547986,8.206239,0.37
-10.512679,9.929277,9.085631,0.37
-10.309631,8.289173,9.72337,0.37
-8.106144,8.64808,7.474126,0.73
-10.3511,8.886875,8.813949,0.77
-9.102791,8.751033,8.068967,0.77
-11.181876,8.549416,8.201948,0.37
-10.516968,9.924987,9.084202,0.37
-10.305342,8.294893,9.72051,0.37
-8.100424,8.64379,7.472696,0.73
0.1673,-2.969917,1.723038,0.77
-1.038114,-3.267339,0.955178,0.77
0.361765,-1.900348,1.70445,0.37
1.016664,-3.493264,1.289776,0.37
0.040037,-3.291647,2.754002,0.37
-2.004729,-3.506133,0.341748,0.73
0.164441,-2.971347,1.724468,0.77
-1.042403,-3.270199,0.952318,0.77
0.354615,-1.901778,1.710169,0.37
1.008084,-3.487545,1.301216,0.37
0.045756,-3.295936,2.754002,0.37
-2.011879,-3.511853,0.334598,0.73
13.097952,14.304793,-0.240224,0.77
14.463513,14.81956,-0.244514,0.77
12.886325,13.811475,-1.186824,0.37
12.395867,15.12413,-0.102954,0.37
12.97355,13.58984,0.569102,0.37
15.558822,15.231374,-0.248804,0.73
13.102241,14.309083,-0.235935,0.77
14.466373,14.82099,-0.241654,0.77
12.890615,13.818625,-1.181104,0.37
12.403016,15.12842,-0.098664,0.37
12.980699,13.5927,0.574821,0.37
15.563112,15.232803,-0.247374,0.73
11.658035,11.473577,14.958261,0.77
12.744764,12.445914,15.039766,0.77
11.872521,10.627071,15.604579,0.37
11.553651,11.123249,13.934447,0.37
10.724305,11.934007,15.27284,0.37
13.614148,13.225213,15.105542,0.73
11.660894,11.479296,14.955401,0.77
12.747624,12.448773,15.038335,0.77
11.878241,10.63708,15.60029,0.37
11.553651,11.130399,13.940166,0.37
10.724305,11.935437,15.268551,0.37
13.618438,13.229503,15.104112,0.73
14.396307,0.436122,-14.053129,0.77
14.100316,1.292636,-15.198486,0.77
14.841008,1.028103,-13.256672,0.37
15.091242,-0.344608,-14.346261,0.37
13.481167,-0.021449,-13.685643,0.37
13.862952,1.977562,-16.116486,0.73
14.394877,0.441841,-14.053129,0.77
14.098887,1.295496,-15.199916,0.77
14.841008,1.035253,-13.256672,0.37
15.088382,-0.334598,-14.346261,0.37
13.479737,-0.017159,-13.688503,0.37
13.861522,1.981852,-16.119346,0.73
2.736843,-2.01617,10.993128,0.77
3.464666,-3.140077,11.572241,0.77
3.310236,-1.587197,10.175221,0.37
2.573833,-1.252598,11.750979,0.37
1.774515,-2.352197,10.615632,0.37
4.049498,-4.040918,12.03696,0.73
2.738273,-2.02046,10.994558,0.77
3.466095,-3.144367,11.5751,0.77
3.307376,-1.592917,10.180941,0.37
2.578123,-1.261178,11.749549,0.37
1.777375,-2.356487,10.614202,0.37
4.050928,-4.045208,12.03982,0.73
5.650994,4.425563,-2.030469,0.77
5.262059,3.937965,-3.351702,0.77
6.733434,4.418414,-1.938955,0.37
5.223451,3.786395,-1.262608,0.37
5.289227,5.440797,-1.890337,0.37
4.951769,3.5476,-4.409834,0.73
5.652424,4.426993,-2.034759,0.77
5.262059,3.937965,-3.355993,0.77
6.733434,4.421274,-1.938955,0.37
5.227741,3.789254,-1.269757,0.37
5.292087,5.443657,-1.896058,0.37
4.951769,3.5476,-4.421273,0.73
-7.684322,-6.111424,8.420724,0.77
-7.206733,-7.478415,8.608042,0.77
-7.405491,-5.756807,7.431229,0.37
-7.24248,-5.459387,9.169996,0.37
-8.766762,-6.081396,8.516529,0.37
-6.823518,-8.573724,8.759613,0.73
-7.680033,-6.114284,8.423584,0.77
-7.202443,-7.482705,8.609472,0.77
-7.402631,-5.759666,7.435518,0.37
-7.23962,-5.460817,9.171426,0.37
-8.759613,-6.081396,8.522248,0.37
-6.817799,-8.580873,8.759613,0.73
10.519828,0.238795,-14.720897,0.77
